step,epoch,loss,loss_wave,loss_mag,lr,sec_per_step,sdr_vocals,sdr_drums,sdr_bass,sdr_other,sdr_mean,val_loss
25,0,0.15148094207048415,0.05928718142211437,0.18438751757144928,0.00015,0.32273618698120116,,,,,,
50,0,0.13820915400981904,0.046811567693948744,0.18279517114162444,0.0003,0.28888710975646975,,,,,,
75,0,0.1291799861192703,0.04287265673279762,0.1726146575808525,0.0002613780294075511,0.28981411933898926,,,,,,
100,0,0.12104811668395996,0.03913201659917832,0.1638322004675865,0.00016197603316863327,0.29202440261840823,,,,,,
125,0,0.114002645611763,0.040222407346591355,0.14756047636270522,5.995203740516185e-05,0.2899278450012207,,,,,,
150,1,0.1122896645963192,0.03838854089379311,0.14780224829912186,1.5070315147883247e-05,0.2900738906860352,,,,,,
150,1,,,,,,-14.698290824890137,-7.765328884124756,-4.238093376159668,-4.673408031463623,-7.843780279159546,0.1310996562242508
