step,epoch,loss,loss_wave,loss_mag,lr,sec_per_step,sdr_vocals,sdr_drums,sdr_bass,sdr_other,sdr_mean,val_loss
25,0,0.15921020537614822,0.05965901657938957,0.19910237550735474,0.00015,0.524850778579712,,,,,,
50,0,0.1560453802347183,0.05623184144496918,0.1996270787715912,0.0003,0.5172235584259033,,,,,,
75,0,0.13495943784713746,0.044469813480973244,0.18097924947738647,0.00029866309216205296,0.5204090595245361,,,,,,
100,0,0.1267045721411705,0.03992451176047325,0.17356011927127837,0.00029445483550099585,0.5150428104400635,,,,,,
125,0,0.11892414160072803,0.040968521442264316,0.15591123789548875,0.00028745857333427045,0.5051885223388672,,,,,,
150,0,0.11871253818273544,0.039770160540938376,0.15788475543260574,0.0002778167293840371,0.5160735416412353,,,,,,
175,0,0.11959449231624603,0.03930147297680378,0.16058603644371033,0.00026572558378834077,0.5299456977844238,,,,,,
200,0,0.12278659597039222,0.03814491011202335,0.16928337305784225,0.0002514312774035252,0.5361474037170411,,,,,,
225,0,0.12247658371925355,0.041550837308168415,0.16185149371623994,0.00023522480108620965,0.5445955753326416,,,,,,
250,0,0.11812366366386413,0.039615082107484344,0.15701716184616088,0.0002174360719585962,0.5446546936035156,,,,,,
275,0,0.118450226187706,0.039562803357839585,0.1577748441696167,0.00019842721724726444,0.5458191967010498,,,,,,
300,0,0.1149464750289917,0.03951346382498741,0.1508660224080086,0.00017858520241712672,0.5565806674957275,,,,,,
325,0,0.1188769969344139,0.043964844830334186,0.14982430636882782,0.00015831395367047895,0.548994607925415,,,,,,
350,0,0.10883721977472305,0.03862920969724655,0.1404160225391388,0.0001380261351743488,0.5400758838653564,,,,,,
375,0,0.10280225843191147,0.03457826741039753,0.1364479836821556,0.00011813474840808009,0.5381902503967285,,,,,,
400,0,0.10100650891661644,0.03560949180275202,0.1307940348982811,9.904472464421158e-05,0.5412315559387207,,,,,,
425,0,0.10190497756004334,0.034438498765230176,0.13493295550346374,8.114468171549293e-05,0.5493001937866211,,,,,,
450,0,0.1095546904206276,0.03634303867816925,0.14642330169677734,6.479901287649188e-05,0.5432221698760986,,,,,,
475,0,0.10343388706445694,0.030766320265829563,0.14533513367176057,5.034046880775382e-05,0.5414724254608154,,,,,,
500,0,0.10338314399123191,0.027817881274968384,0.15113052606582641,3.806338377152029e-05,0.5400271034240722,,,,,,
525,0,0.09759754538536072,0.028961463570594786,0.1372721627354622,2.8217683814939424e-05,0.5393343925476074,,,,,,
550,0,0.10301246553659439,0.033009455278515815,0.14000602155923844,2.1003798996473105e-05,0.5470592212677002,,,,,,
575,0,0.10743681401014328,0.037183755934238436,0.1405061161518097,1.656858320789934e-05,0.5706274318695068,,,,,,
600,1,0.10343211084604263,0.03534164719283581,0.13618092745542526,1.5002324652567358e-05,0.5657418823242187,,,,,,
600,1,,,,,,-11.351897239685059,-6.974857330322266,-0.8188885450363159,-2.7945759296417236,-5.485054761171341,0.11781919534717288
