step,epoch,loss,loss_wave,loss_mag,lr,sec_per_step,sdr_vocals,sdr_drums,sdr_bass,sdr_other,sdr_mean,val_loss
25,0,0.15148094207048415,0.05928718142211437,0.18438751757144928,0.00015,0.3142984390258789,,,,,,
50,0,0.13820915400981904,0.046811567693948744,0.18279517114162444,0.0003,0.3045355701446533,,,,,,
75,0,0.12916499078273774,0.04288426674902439,0.17256144642829896,0.00029866309216205296,0.3108892059326172,,,,,,
100,0,0.12088042855262757,0.03916689097881317,0.16342707663774492,0.00029445483550099585,0.31552863121032715,,,,,,
125,0,0.11308410570025444,0.039972571679390966,0.14622306644916536,0.00028745857333427045,0.317523832321167,,,,,,
150,0,0.11095789760351181,0.03825168751180172,0.14541241884231568,0.0002778167293840371,0.3246273899078369,,,,,,
175,0,0.11330448120832443,0.039420531429350376,0.14776790142059326,0.00026572558378834077,0.3364156341552734,,,,,,
200,0,0.11790041387081146,0.03869489628821612,0.15841103553771974,0.0002514312774035252,0.3474078464508057,,,,,,
225,0,0.1189010488986969,0.042447928115725515,0.15290624290704727,0.00023522480108620965,0.3629401969909668,,,,,,
250,0,0.11333531022071838,0.03971268806606531,0.14724524408578873,0.0002174360719585962,0.40111684799194336,,,,,,
275,0,0.11524202525615693,0.04079638123512268,0.14889128744602204,0.00019842721724726444,0.4207537937164307,,,,,,
300,0,0.11197422325611114,0.0412054531276226,0.14153753727674484,0.00017858520241712672,0.41708394050598147,,,,,,
325,0,0.11517299324274063,0.04422730658203364,0.14189137101173402,0.00015831395367047895,0.4219126605987549,,,,,,
350,0,0.10788043648004532,0.04148693136870861,0.13278701275587082,0.0001380261351743488,0.4341136837005615,,,,,,
375,0,0.09830812990665436,0.03560695499181747,0.12540235072374345,0.00011813474840808009,0.42963543891906736,,,,,,
400,0,0.10064960151910782,0.03784348461776972,0.12561223566532134,9.904472464421158e-05,0.42161720275878906,,,,,,
425,0,0.09878752171993256,0.03544804941862822,0.12667894542217253,8.114468171549293e-05,0.41952176094055177,,,,,,
450,0,0.10658120274543763,0.03650705944746733,0.14014828592538833,6.479901287649188e-05,0.41313356399536133,,,,,,
475,0,0.10014566302299499,0.03205943766981363,0.13617245107889175,5.034046880775382e-05,0.4110008907318115,,,,,,
500,0,0.09890719845891,0.028742573242634534,0.1403292502462864,3.806338377152029e-05,0.4102332305908203,,,,,,
525,0,0.09467905580997467,0.03008445743471384,0.1291891971230507,2.8217683814939424e-05,0.4065363693237305,,,,,,
550,0,0.10113994061946868,0.03486921884119511,0.13254144489765168,2.1003798996473105e-05,0.41196498870849607,,,,,,
575,0,0.10554232507944107,0.03890971451997757,0.133265221118927,1.656858320789934e-05,0.4123525047302246,,,,,,
600,1,0.1023417627811432,0.037222336232662204,0.13023885369300842,1.5002324652567358e-05,0.4118287467956543,,,,,,
600,1,,,,,,-11.511007308959961,-8.672564506530762,-0.9379765391349792,-3.0361247062683105,-6.039418265223503,0.12015500238963536
